state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,year
New Jersey,13501.0,10897.0,2604.0,7869.0,5587.0,5480.0,2598.0,7217.0,85.0,4650328.0,4212388.0,437940.0,8882371.0,168370.0,156584.0,11786.0,71505.0,199178.5866644101,346342.03526940354,51.93,2020
New Mexico,57490.0,34779.0,22711.0,33816.0,23114.0,34437.0,23273.0,2459.0,76.0,931922.0,858352.0,73570.0,2106319.0,26066.0,21895.0,4171.0,46760.0,120732.60595022772,203771.14241080976,53.07,2020
New York,416256.0,395593.0,20663.0,222714.0,191187.0,91912.0,147147.0,290581.0,4482.0,9580848.0,8645491.0,935357.0,19336776.0,594253.0,540770.0,53483.0,71577.0,149116.94456354805,326392.6604434906,48.17,2020
North Carolina,261442.0,179154.0,82288.0,149568.0,111528.0,146774.0,13006.0,99507.0,1124.0,4839386.0,4491755.0,347631.0,10600823.0,128012.0,113930.0,14082.0,51900.0,108008.54999073966,211577.35566919786,58.7,2020
North Dakota,28673.0,26871.0,1802.0,16642.0,11978.0,15105.0,2120.0,5035.0,53.0,409804.0,389417.0,20387.0,765309.0,13859.0,10532.0,3327.0,60864.0,103876.3892869294,207293.03015833575,40.79999999999999,2020
Ohio,275353.0,200545.0,74808.0,156102.0,118318.0,213882.0,13289.0,47212.0,202.0,5754705.0,5280932.0,473773.0,11693217.0,225526.0,207483.0,18043.0,53545.0,78234.35327836571,155587.52056916713,50.88,2020
Oklahoma,14190.0,9934.0,4256.0,8635.0,5489.0,9701.0,1098.0,1824.0,6.0,1841357.0,1725320.0,116037.0,3980783.0,52112.0,47421.0,4691.0,50518.0,60580.418179774046,135848.89219586065,60.14,2020
Oregon,168191.0,42094.0,126097.0,98496.0,68976.0,148520.0,14875.0,2961.0,898.0,2107365.0,1947570.0,159795.0,4241507.0,54820.0,49338.0,5482.0,57005.0,256903.2303272835,377695.36271256657,51.27,2020
Pennsylvania,92725.0,77997.0,14728.0,52370.0,40035.0,64505.0,15422.0,23498.0,250.0,6514576.0,5933188.0,581388.0,12783254.0,222442.0,197973.0,24469.0,60685.0,92723.57959287298,189155.8490816678,49.8,2020
Rhode Island,5520.0,4980.0,540.0,3335.0,2155.0,3280.0,1235.0,1610.0,30.0,570186.0,517950.0,52236.0,1057125.0,38216.0,35540.0,2676.0,59941.0,226543.9265631089,313189.9575132918,49.27,2020
South Carolina,53095.0,32383.0,20712.0,33342.0,19633.0,23147.0,1394.0,27005.0,155.0,2335029.0,2195173.0,139856.0,5218040.0,63503.0,58422.0,5081.0,49105.0,88857.35533074437,191200.88574085024,61.7,2020
South Dakota,69828.0,53592.0,16236.0,40062.0,29568.0,17490.0,5346.0,4290.0,132.0,464511.0,444901.0,19610.0,892717.0,13893.0,11670.0,2223.0,60446.0,114491.75165178551,207779.20428364666,45.54,2020
Tennessee,54475.0,23134.0,31341.0,31766.0,22615.0,34297.0,1242.0,17510.0,105.0,3303245.0,3056720.0,246525.0,6886834.0,104848.0,96460.0,8388.0,52351.0,95960.94994652523,200284.8642415139,58.11,2020
Texas,1944424.0,733343.0,1211081.0,1207745.0,731191.0,1349054.0,691259.0,491158.0,16228.0,13955346.0,12883806.0,1071540.0,29360759.0,284105.0,247171.0,36934.0,55601.0,117081.96058261201,213970.890014256,65.97,2020
Utah,27442.0,18344.0,9098.0,15838.0,11512.0,22336.0,5867.0,2045.0,276.0,1647381.0,1567780.0,79601.0,3249879.0,19258.0,17524.0,1734.0,52225.0,260729.2183323497,368393.0489096266,49.55,2020
Vermont,11298.0,10356.0,942.0,6060.0,5130.0,10283.0,341.0,434.0,45.0,339812.0,320543.0,19269.0,623347.0,12497.0,11372.0,1125.0,59296.0,139751.30980792624,235191.43670672344,43.74,2020
Virginia,81098.0,66562.0,14536.0,46176.0,34727.0,40107.0,5393.0,34457.0,282.0,4342970.0,4062430.0,280540.0,8590563.0,106170.0,94491.0,11679.0,62189.0,143251.25283308208,283481.0086268873,55.54,2020
Washington,198631.0,107465.0,91166.0,113038.0,83454.0,154644.0,29565.0,11703.0,1138.0,3936088.0,3603372.0,332716.0,7693612.0,91750.0,84410.0,7340.0,68350.0,278409.80711131165,429087.1973511088,50.47,2020
West Virginia,34065.0,24914.0,9151.0,20695.0,13365.0,29516.0,753.0,3171.0,132.0,779923.0,715641.0,64282.0,1784787.0,34006.0,30945.0,3061.0,45240.0,50330.85877387619,114699.777043908,53.08,2020
Wisconsin,188659.0,179835.0,8824.0,101079.0,87023.0,122378.0,16312.0,39108.0,2494.0,3094725.0,2897425.0,197300.0,5832655.0,77593.0,68281.0,9312.0,55941.0,112128.61550999043,204299.07336361974,44.71,2020
Wyoming,14076.0,11247.0,2829.0,7912.0,6164.0,11730.0,1748.0,874.0,0.0,293756.0,276496.0,17260.0,582328.0,5769.0,5365.0,404.0,65782.0,155068.9568064875,254889.21894546444,43.47,2020
